task,morphology,controller,independent_runs,mean,sd,median,q1,q3
Carrier-v0,biped,nchl,10,1.1909935714824795,0.30481511131439554,1.1246803558438385,0.9920982683891392,1.3717978388004592
Carrier-v0,biped,static,10,2.1941337337032367,0.49722585045455825,2.2406461704869574,1.888062976065288,2.4583916803467893
Jumper-v0,biped,nchl,10,0.024110444659700886,0.18834185039389462,0.08029501224175736,-0.07211509788863672,0.17042143153957445
Jumper-v0,biped,static,10,0.2574327194307282,0.02695523590665773,0.25521228672107543,0.24650600881393303,0.2586239629187755
Thrower-v0,biped,nchl,10,1.2145363091101293,0.15994433160232463,1.1976947933348976,1.1436390362236377,1.2686518940704157
Thrower-v0,biped,static,10,1.8424098396500153,0.14317515347137622,1.8010059937046488,1.7954698972406438,1.8083109681013014
Thrower-v0,thrower_arm,nchl,10,2.2329361349875514,0.9588015157575612,2.8044590978064834,1.4980207081994592,2.901890666553458
Thrower-v0,thrower_arm,static,10,4.424331136353004,1.2784084721126194,3.912050858586143,3.3919401538422456,5.721150067808412
Walker-v0,biped,nchl,10,4.3954365706506815,0.5418683454096554,4.3711525283502635,4.038731817892425,4.864212911997312
Walker-v0,biped,static,10,4.8649859378659315,0.8411415404652249,4.966359477315928,4.097356712276998,5.552741877282642
