run_id,task,morphology,training_seed,snapshot,snapshot_fraction,n_analysis_traces,mean_frozen_fitness,median_frozen_fitness,sd_frozen_fitness,min_frozen_fitness,max_frozen_fitness
carrier__biped__nchl__seed_000,Carrier-v0,biped,0,W0,0.0,3,-0.438133997404708,-0.46176844019962837,0.04143516308146843,-0.46234360732667007,-0.3902899446878254
carrier__biped__nchl__seed_000,Carrier-v0,biped,0,W25,0.25,3,-0.37392741873786645,-0.3786214970845524,0.0091562392786214,-0.37978470397813296,-0.36337605515091387
carrier__biped__nchl__seed_000,Carrier-v0,biped,0,W50,0.5,3,-0.48010997289130025,-0.7556142842981142,0.558585020665874,-0.8474224230646937,0.16270678868890723
carrier__biped__nchl__seed_000,Carrier-v0,biped,0,W75,0.75,3,-0.7584003332891864,-0.8191062016505293,0.4910757030144675,-1.2163008622309233,-0.2397939359861066
carrier__biped__nchl__seed_000,Carrier-v0,biped,0,Wfinal,1.0,3,-0.38458724243276987,-0.3748337745631942,0.029430936641348743,-0.4176567490225299,-0.3612712037125854
carrier__biped__nchl__seed_001,Carrier-v0,biped,1,W0,0.0,3,-0.4863061168662988,-0.3747736446535773,0.22660826314882399,-0.7470642690545274,-0.3370804368907918
carrier__biped__nchl__seed_001,Carrier-v0,biped,1,W25,0.25,3,1.351449911413529,1.3429462664646148,0.1382819987849747,1.2176159735616405,1.493787494214331
carrier__biped__nchl__seed_001,Carrier-v0,biped,1,W50,0.5,3,0.5723578074410919,0.8835812400501142,1.0022090027779718,-0.5485403256825464,1.3820325079557076
carrier__biped__nchl__seed_001,Carrier-v0,biped,1,W75,0.75,3,0.07962363518229602,0.9568491468666647,1.876536268169508,-2.0748693370482925,1.356891095728516
carrier__biped__nchl__seed_001,Carrier-v0,biped,1,Wfinal,1.0,3,1.0234350270024992,0.9408033988407312,0.20507548675987086,0.8725661231937984,1.2569355589729687
carrier__biped__nchl__seed_002,Carrier-v0,biped,2,W0,0.0,3,-0.41823479164302,-0.4673900524404726,0.09106784764640846,-0.47416289474756845,-0.3131514277410191
carrier__biped__nchl__seed_002,Carrier-v0,biped,2,W25,0.25,3,-1.7224227374113232,-2.1296094155718537,1.0252902394140482,-2.481569930293934,-0.5560888663681827
carrier__biped__nchl__seed_002,Carrier-v0,biped,2,W50,0.5,3,0.015024559933812761,-0.30044582804635855,0.8667476698700721,-0.6498035256819503,0.9953230335297472
carrier__biped__nchl__seed_002,Carrier-v0,biped,2,W75,0.75,3,-0.08652243881341597,-0.3118860102951264,0.44068889455797083,-0.3689547470675515,0.42127344092243
carrier__biped__nchl__seed_002,Carrier-v0,biped,2,Wfinal,1.0,3,-0.40498874426300824,-0.41262636850965356,0.11951288978663366,-0.5204996469933311,-0.28184021728604014
carrier__biped__nchl__seed_003,Carrier-v0,biped,3,W0,0.0,3,-0.37139846812426924,-0.3456248508631544,0.07197159437125933,-0.4527082325978714,-0.31586232091178174
carrier__biped__nchl__seed_003,Carrier-v0,biped,3,W25,0.25,3,0.12768677729307784,-0.15346118029934733,0.5080623172669847,-0.17765872956131917,0.7141802417399
carrier__biped__nchl__seed_003,Carrier-v0,biped,3,W50,0.5,3,-0.34449255029476933,-0.32819731510572425,0.036400797014601145,-0.38619410962343803,-0.3190862261551457
carrier__biped__nchl__seed_003,Carrier-v0,biped,3,W75,0.75,3,-0.5223945349098332,-0.3135914365980845,0.36165757505374807,-0.9400007315333307,-0.3135914365980845
carrier__biped__nchl__seed_003,Carrier-v0,biped,3,Wfinal,1.0,3,-0.312446653800517,-0.3135914365980845,0.0019828219690178187,-0.3135914365980845,-0.3101570882053819
carrier__biped__nchl__seed_004,Carrier-v0,biped,4,W0,0.0,3,-0.4840796893020382,-0.3577605674529556,0.25533305090736486,-0.7779502739708307,-0.3165282264823283
carrier__biped__nchl__seed_004,Carrier-v0,biped,4,W25,0.25,3,0.0017292247684203381,0.33877719301125075,0.9075831779505387,-1.026158608503245,0.6925690897972553
carrier__biped__nchl__seed_004,Carrier-v0,biped,4,W50,0.5,3,1.5592876101245772,1.5047141119362537,0.32569800564401713,1.2643236945924157,1.908825023845062
carrier__biped__nchl__seed_004,Carrier-v0,biped,4,W75,0.75,3,1.199318141615967,1.279325162300279,0.14617955930482932,1.0305993600762209,1.288029902471401
carrier__biped__nchl__seed_004,Carrier-v0,biped,4,Wfinal,1.0,3,1.4441110067136858,1.433720650167292,0.2730324587020227,1.176422044969547,1.7221903250042183
carrier__biped__nchl__seed_005,Carrier-v0,biped,5,W0,0.0,3,-0.44188554214558934,-0.46424188077699513,0.04059869639589777,-0.46639209983311175,-0.39502264582666113
carrier__biped__nchl__seed_005,Carrier-v0,biped,5,W25,0.25,3,-0.30995859512415697,-0.6269756118341242,0.5703578757750933,-0.6513833471109025,0.34848317357255576
carrier__biped__nchl__seed_005,Carrier-v0,biped,5,W50,0.5,3,-0.27724737146802475,-0.2833327967745932,0.08457367079166586,-0.35861396807803037,-0.1897953495514507
carrier__biped__nchl__seed_005,Carrier-v0,biped,5,W75,0.75,3,-0.3467302740573686,-0.28449895981296125,0.17851263623964334,-0.5480288003021359,-0.2076630620570088
carrier__biped__nchl__seed_005,Carrier-v0,biped,5,Wfinal,1.0,3,-0.5059309940209715,-0.5311292579987239,0.05453942374693485,-0.5433152028771043,-0.44334852118708623
carrier__biped__nchl__seed_006,Carrier-v0,biped,6,W0,0.0,3,-0.5091708151042661,-0.34867130149007936,0.2816821592340643,-0.834420099314928,-0.34442104450779115
carrier__biped__nchl__seed_006,Carrier-v0,biped,6,W25,0.25,3,0.8865209841169103,0.9692320931762047,0.1695750403707927,0.6914616604552339,0.9988691987192921
carrier__biped__nchl__seed_006,Carrier-v0,biped,6,W50,0.5,3,-0.7559761909899336,-0.6371930409068755,0.2269949599796429,-1.0177155713035213,-0.6130199607594042
carrier__biped__nchl__seed_006,Carrier-v0,biped,6,W75,0.75,3,-0.6648985354397835,-1.1366647139856025,0.82410141133128,-1.1447113597666467,0.2866804674328989
carrier__biped__nchl__seed_006,Carrier-v0,biped,6,Wfinal,1.0,3,-1.1207584959590569,-1.12933700593968,0.04598521132053106,-1.1618503662861959,-1.0710881156512946
carrier__biped__nchl__seed_007,Carrier-v0,biped,7,W0,0.0,3,-0.5316970839306293,-0.451883331527534,0.21002969792328607,-0.7699339823306577,-0.3732739379336963
carrier__biped__nchl__seed_007,Carrier-v0,biped,7,W25,0.25,3,1.0533802345534644,1.0709047795581261,0.11479453203878444,0.9308310896633745,1.1584048344388929
carrier__biped__nchl__seed_007,Carrier-v0,biped,7,W50,0.5,3,0.9464697842536022,0.9301101375148182,0.0772520893194432,0.8787078090325219,1.0305914062134667
carrier__biped__nchl__seed_007,Carrier-v0,biped,7,W75,0.75,3,0.9948299735051904,1.0159939449832573,0.09294007120453837,0.8931331066052766,1.0753628689270371
carrier__biped__nchl__seed_007,Carrier-v0,biped,7,Wfinal,1.0,3,1.051039654399991,1.0505364354443947,0.009213645055305668,1.042087931154411,1.0604945966011674
carrier__biped__nchl__seed_008,Carrier-v0,biped,8,W0,0.0,3,-0.5512536585061382,-0.46875989958733566,0.16610034020961356,-0.7424518894844045,-0.4425491864466745
carrier__biped__nchl__seed_008,Carrier-v0,biped,8,W25,0.25,3,-0.01681041247389074,-0.024031664392555246,0.3209883127883263,-0.33412717251837365,0.30772759948925665
carrier__biped__nchl__seed_008,Carrier-v0,biped,8,W50,0.5,3,-0.05479903153651825,0.13235523864010748,0.4591731801896705,-0.5779922379856294,0.28123990473596716
carrier__biped__nchl__seed_008,Carrier-v0,biped,8,W75,0.75,3,0.5343608310918971,0.5109163312043337,0.15954575866773418,0.3878344928030206,0.704331669268337
carrier__biped__nchl__seed_008,Carrier-v0,biped,8,Wfinal,1.0,3,0.6076782129843652,0.9559628391250858,0.6414026935005597,-0.1325213230107509,0.9995931228387607
carrier__biped__nchl__seed_009,Carrier-v0,biped,9,W0,0.0,3,-0.6657747577917013,-0.7328718193724012,0.17947394987479331,-0.8020331377237556,-0.4624193162789467
carrier__biped__nchl__seed_009,Carrier-v0,biped,9,W25,0.25,3,-1.8237868294013282,-1.6817808528009937,0.3871095139147557,-2.261844994372057,-1.5277346410309334
carrier__biped__nchl__seed_009,Carrier-v0,biped,9,W50,0.5,3,-1.3666604143348913,-1.5873278778465902,0.8831723936452379,-2.1185754168822846,-0.39407794827579945
carrier__biped__nchl__seed_009,Carrier-v0,biped,9,W75,0.75,3,-0.597556351928254,-0.34659157947973357,0.8104596627404117,-1.5038123142753865,0.05773483797035811
carrier__biped__nchl__seed_009,Carrier-v0,biped,9,Wfinal,1.0,3,-1.3615415450697377,-1.4192776434889978,0.31168876980652954,-1.6403255662708216,-1.0250214254493937
jumper__biped__nchl__seed_000,Jumper-v0,biped,0,W0,0.0,3,-0.1612969677108859,-0.15937079325762604,0.004544649035300778,-0.16648749196670587,-0.1580326179083258
jumper__biped__nchl__seed_000,Jumper-v0,biped,0,W25,0.25,3,0.03142929055488741,0.03142929055488741,0.0,0.03142929055488741,0.03142929055488741
jumper__biped__nchl__seed_000,Jumper-v0,biped,0,W50,0.5,3,-0.01352070857968124,-0.0037615614451019797,0.028935652215978373,-0.04607411915177162,0.00927355485782988
jumper__biped__nchl__seed_000,Jumper-v0,biped,0,W75,0.75,3,-0.020659212137548916,0.003677700183137289,0.07551590601691321,-0.10534275697312356,0.03968742037733952
jumper__biped__nchl__seed_000,Jumper-v0,biped,0,Wfinal,1.0,3,-0.5143883508223054,-0.3394203879236274,0.6242204601234023,-1.207422364726426,0.003677700183137289
