run_id,source_run,config_digest,genome_sha256,training_seed,analysis_index,environment_seed,controller_seed,task,morphology,controller,hidden_sizes,episode_length,snapshot,state,layer,number_of_weights,mean,std,mean_abs,rms,min,max
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W0,0,0,1600,-0.03044167134583404,1.735230318888136,1.3741005757518723,1.7354973220788759,-6.484385967254639,5.944579124450684
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W0,0,1,320,0.041752733412431554,1.8102243302796306,1.4615493716381025,1.8107057786078187,-6.845483779907227,4.557196617126465
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W25,125,0,1600,-0.03044167134583404,1.735230318888136,1.3741005757518723,1.7354973220788759,-6.484385967254639,5.944579124450684
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W25,125,1,320,0.041752733412431554,1.8102243302796306,1.4615493716381025,1.8107057786078187,-6.845483779907227,4.557196617126465
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W50,250,0,1600,-0.03044167134583404,1.735230318888136,1.3741005757518723,1.7354973220788759,-6.484385967254639,5.944579124450684
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W50,250,1,320,0.041752733412431554,1.8102243302796306,1.4615493716381025,1.8107057786078187,-6.845483779907227,4.557196617126465
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W75,375,0,1600,-0.03044167134583404,1.735230318888136,1.3741005757518723,1.7354973220788759,-6.484385967254639,5.944579124450684
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,W75,375,1,320,0.041752733412431554,1.8102243302796306,1.4615493716381025,1.8107057786078187,-6.845483779907227,4.557196617126465
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,Wfinal,500,0,1600,-0.03044167134583404,1.735230318888136,1.3741005757518723,1.7354973220788759,-6.484385967254639,5.944579124450684
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,Wfinal,500,1,320,0.041752733412431554,1.8102243302796306,1.4615493716381025,1.8107057786078187,-6.845483779907227,4.557196617126465
