run_id,source_run,config_digest,task,morphology,controller,training_seed,n_heldout_episodes,mean_fitness,median_fitness,std_fitness,min_fitness,max_fitness
carrier__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_000,4a3d60bfbae110cc2ae817b182f8e6175b8b040eb98b466606818ece568fa0db,Carrier-v0,biped,nchl,0,10,1.4233419034810921,1.5339959474155298,0.43035946145756904,0.6348454683783658,1.984216550400336
carrier__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_001,fc165def04eedc1fd39ccf612741552d9574a5a8228c644a7661cafd62ea43f0,Carrier-v0,biped,nchl,1,10,1.7833843611130415,2.09949264014695,0.6931073896419107,0.23765533997028623,2.3747305823438496
carrier__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_002,c46b349c32b84b18b55b1db6867a934cedf5926fbed8b7b83ac07cb27e38fbc6,Carrier-v0,biped,nchl,2,10,1.5122864902269864,1.8366080242654208,0.8895666802716754,-0.14495176754473704,2.423734487221015
carrier__biped__nchl__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_003,dd90ace3a112904155ff3289426075ff7c4eea3913621e63d1815172815cf404,Carrier-v0,biped,nchl,3,10,0.7832221743026169,0.7889149716337777,0.43412410522568506,-0.02251346468344692,1.392420269051381
carrier__biped__nchl__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_004,02a112f7f3c173167135d33f72892b6d09a8a7130df309d7adfad5707dc12442,Carrier-v0,biped,nchl,4,10,1.2064933621767073,1.2117849149957323,0.36077817345270846,0.6766049724031414,1.6861134624903473
carrier__biped__nchl__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_005,59576d974c40b5d6b64196be05d1cbb1da4280930f2f42a519aee7be5e9074e3,Carrier-v0,biped,nchl,5,10,0.9277519324874313,0.9648017805191407,0.27803344527899004,0.5364998643714424,1.290260992759576
carrier__biped__nchl__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_006,5c7ed5b35412f661a01011a05217ec60a319583f52660088f2aa311eaa0ccaa4,Carrier-v0,biped,nchl,6,10,1.2171656447585606,1.2731622139374186,0.6460567856301553,-0.5909873874934127,1.7401625379442887
carrier__biped__nchl__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_007,3ed6918f77319552df9435be1863d69c413ca688a3729a33fe31775171199a4e,Carrier-v0,biped,nchl,7,10,1.0359372083728045,1.0860846927567471,0.23723540830382658,0.3808469553962802,1.2867077654065147
carrier__biped__nchl__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_008,ad265df0c69f27ccea7fb58a3c9ec91b1fa68e9775fc9f92d27b0e8694f4d3d8,Carrier-v0,biped,nchl,8,10,1.0428673495109697,1.1147609100464742,0.44261866711840175,0.17096172230804216,1.7647556783045555
carrier__biped__nchl__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_009,c1aac2e2d985f35c2aed40f3b6e71308304409cd7f9dbaf26bc19dc41617ecbf,Carrier-v0,biped,nchl,9,10,0.977485288394584,0.9796565291984308,0.22846762723968184,0.3830776827225243,1.26423185390817
carrier__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_000,7481dfaf521a1080c442ee4538ecacd6db02caa97888d55b278d95afbd10ba4d,Carrier-v0,biped,static,0,10,2.3682785833712883,2.3682785833712883,0.0,2.3682785833712883,2.3682785833712883
carrier__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_001,7a24d056f998b3e3eb1c4e16b634d1c3cc1b5039b4262ce34cc21dafe29f2bf5,Carrier-v0,biped,static,1,10,2.4884293793386227,2.4884293793386227,0.0,2.4884293793386227,2.4884293793386227
carrier__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_002,36643fca2368b4b41d31f141557806455a8ac8e36ac34f5ede9bfa68408f3a3a,Carrier-v0,biped,static,2,10,2.3495740753949192,2.3495740753949192,0.0,2.3495740753949192,2.3495740753949192
carrier__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_003,d6b98b2a57ece69936d50e94ad53bd58a768503647d0f25a5373728a475110d6,Carrier-v0,biped,static,3,10,2.103006815171148,2.1030068151711476,4.440892098500626e-16,2.1030068151711476,2.1030068151711476
carrier__biped__static__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_004,d948692e7f8a79421274dd9f6cc7e45facb803f46ae8d63be0c21cd679d2c447,Carrier-v0,biped,static,4,10,1.6010339847547506,1.6010339847547508,2.220446049250313e-16,1.6010339847547508,1.6010339847547508
carrier__biped__static__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_005,12119ee8789a72d4de39b07306bcf72120a1202a3951da7a7da699ab126564df,Carrier-v0,biped,static,5,10,1.8164150296966681,1.8164150296966681,0.0,1.8164150296966681,1.8164150296966681
carrier__biped__static__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_006,17aa5b283be0549004b5c74b1922ff57d10e25652c263eeb3db88e9c4c402d1d,Carrier-v0,biped,static,6,10,2.1317182655789955,2.131718265578995,4.440892098500626e-16,2.131718265578995,2.131718265578995
carrier__biped__static__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_007,9df9c78c523c4c7311c5ceb12610711107d640e21680ded48beb9a736179b207,Carrier-v0,biped,static,7,10,2.8868604720673128,2.8868604720673128,0.0,2.8868604720673128,2.8868604720673128
carrier__biped__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_008,0e57e49c802f65dcd589faf4763afdbb3a1af4c70d81ce497abc0cf1b619bc88,Carrier-v0,biped,static,8,10,2.8325223080271376,2.8325223080271376,0.0,2.8325223080271376,2.8325223080271376
carrier__biped__static__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_009,275e79bc26c7759cff176a3e56034b3c8048a5980e26ece38dd43fea1cde46fc,Carrier-v0,biped,static,9,10,1.3634984236315244,1.3634984236315244,0.0,1.3634984236315244,1.3634984236315244
