run_id,source_run,config_digest,genome_sha256,training_seed,analysis_index,environment_seed,controller_seed,task,morphology,controller,hidden_sizes,episode_length,trace_path
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train000_analysis00.npz
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,1,530078296572617688,6966882572876332860,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train000_analysis01.npz
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,2,7210830791768759910,3424438756091539107,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train000_analysis02.npz
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,0,5232325836976384581,7172422899355977572,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train001_analysis00.npz
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,1,3184075494390970209,9147161066225580108,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train001_analysis01.npz
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,2,6337936886056088,9019669384804417704,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train001_analysis02.npz
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,0,4709125304908105630,1244304497912131803,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train002_analysis00.npz
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,1,6789895730674132307,2935584579999248951,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train002_analysis01.npz
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,2,2298876442789069326,7237655472595637189,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train002_analysis02.npz
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,943a25d447aec4d34e097ce3d71a06978c75a90634ec0dcb52184c8539418dcd,3,0,6875887065855152501,8328361779180904825,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train003_analysis00.npz
